id,unique_key,name_en,name_jp,name_cn,name_tw,name_kr,type,episode_status,release_version,release_date,image,character_ids,description_en,description_jp,tags,updated_at,author,status
1,misaki-character-ep1,Misaki Character Episode 1,みさき キャラクターエピソード1,美咲 角色剧情1,美咲 角色劇情1,미사키 캐릭터 에피소드 1,Character,Available,1.0.0,2017-11-21,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800,misaki,Get to know Misaki better in this heartwarming character episode. Discover her dreams and aspirations.,みさきをもっとよく知る心温まるキャラクターエピソード。彼女の夢と願望を発見しましょう。,Character|Misaki,2024-01-15,System,published
2,marie-rose-character-ep1,Marie Rose Character Episode 1,マリー・ローズ キャラクターエピソード1,玛丽·罗斯 角色剧情1,瑪麗·羅斯 角色劇情1,마리 로즈 캐릭터 에피소드 1,Character,Available,1.0.0,2017-11-21,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,marie-rose,Experience Marie Rose's charming personality in this delightful episode full of surprises.,このサプライズいっぱいの楽しいエピソードでマリー・ローズの魅力的な性格を体験しましょう。,Character|Marie Rose,2024-01-15,System,published
3,honoka-character-ep1,Honoka Character Episode 1,ほのか キャラクターエピソード1,穗香 角色剧情1,穗香 角色劇情1,호노카 캐릭터 에피소드 1,Character,Available,1.1.0,2018-01-10,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800,honoka,Discover Honoka's boundless energy and positive attitude in this uplifting character story.,この元気が出るキャラクターストーリーでほのかの無限のエネルギーとポジティブな態度を発見しましょう。,Character|Honoka,2024-01-20,System,published
4,misaki-gravure-ep1,Misaki Gravure Episode 1,みさき グラビアエピソード1,美咲 写真剧情1,美咲 寫真劇情1,미사키 그라비아 에피소드 1,Gravure,Available,1.5.0,2018-03-01,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,misaki,A special gravure photoshoot episode featuring Misaki in stunning swimwear.,みさきが素敵な水着で登場する特別なグラビア撮影エピソード。,Gravure|Misaki|Photoshoot,2024-02-01,System,published
5,marie-rose-gravure-ep1,Marie Rose Gravure Episode 1,マリー・ローズ グラビアエピソード1,玛丽·罗斯 写真剧情1,瑪麗·羅斯 寫真劇情1,마리 로즈 그라비아 에피소드 1,Gravure,Available,1.5.0,2018-03-15,https://images.unsplash.com/photo-1518837695005-2083093ee35b?w=800,marie-rose,Marie Rose's exclusive gravure episode with beautiful beach scenery.,美しいビーチの景色とマリー・ローズの限定グラビアエピソード。,Gravure|Marie Rose|Beach,2024-02-10,System,published
6,summer-festival-event,Summer Festival Event Episode,夏祭りイベントエピソード,夏日祭典活动剧情,夏日祭典活動劇情,여름 축제 이벤트 에피소드,Event,Available,2.0.0,2018-07-15,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800,misaki|marie-rose|honoka,Join the girls at the exciting Summer Festival! Fireworks and fun await in this special event story.,エキサイティングな夏祭りで女の子たちと一緒に！花火と楽しみがこの特別なイベントストーリーで待っています。,Event|Summer|Festival,2024-02-20,System,published
7,christmas-event-2023,Christmas Event 2023,クリスマスイベント 2023,2023圣诞活动,2023聖誕活動,2023 크리스마스 이벤트,Event,Limited,5.0.0,2023-12-20,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?w=800,misaki|marie-rose|honoka|nyotengu,A magical Christmas celebration on Venus Islands! Limited time story with exclusive rewards.,ヴィーナスアイランドでの魔法のようなクリスマスのお祝い！限定報酬付きの期間限定ストーリー。,Event|Christmas|Limited,2024-01-05,System,published
8,nyotengu-character-ep1,Nyotengu Character Episode 1,女天狗 キャラクターエピソード1,女天狗 角色剧情1,女天狗 角色劇情1,뇨텐구 캐릭터 에피소드 1,Character,Available,2.5.0,2019-02-14,https://images.unsplash.com/photo-1518837695005-2083093ee35b?w=800,nyotengu,Uncover the mysteries surrounding Nyotengu's arrival at Venus Islands in this intriguing episode.,この興味深いエピソードで女天狗のヴィーナスアイランドへの到着を取り巻く謎を解き明かしましょう。,Character|Nyotengu,2024-02-10,System,published
9,misaki-extra-episode,Misaki Extra Episode,みさき エクストラエピソード,美咲 额外剧情,美咲 額外劇情,미사키 엑스트라 에피소드,Extra,Available,3.0.0,2020-06-01,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?w=800,misaki,Exclusive extra episode featuring Misaki in special scenarios and situations.,特別なシナリオと状況でみさきをフィーチャーした限定エクストラエピソード。,Extra|Misaki|Special,2024-03-01,System,published
10,marie-rose-bromide,Marie Rose Bromide Collection,マリー・ローズ ブロマイド,玛丽·罗斯 写真集,瑪麗·羅斯 寫真集,마리 로즈 브로마이드,Bromide,Available,3.5.0,2020-09-15,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=800,marie-rose,Beautiful bromide collection featuring Marie Rose in various poses and outfits.,様々なポーズと衣装のマリー・ローズをフィーチャーした美しいブロマイドコレクション。,Bromide|Marie Rose|Collection,2024-03-10,System,published
11,honoka-extra-episode,Honoka Extra Episode,ほのか エクストラエピソード,穗香 额外剧情,穗香 額外劇情,호노카 엑스트라 에피소드,Extra,Available,3.2.0,2020-07-20,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800,honoka,Special extra episode showcasing Honoka's unique talents and personality.,ほのかのユニークな才能と個性を紹介する特別なエクストラエピソード。,Extra|Honoka|Special,2024-03-05,System,published
12,misaki-bromide-collection,Misaki Bromide Collection,みさき ブロマイドコレクション,美咲 写真集,美咲 寫真集,미사키 브로마이드 컬렉션,Bromide,Available,4.0.0,2021-01-10,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800,misaki,Premium bromide collection with exclusive Misaki photos and poses.,限定みさき写真とポーズのプレミアムブロマイドコレクション。,Bromide|Misaki|Premium,2024-03-12,System,published
13,new-year-event-2024,New Year Event 2024,新年イベント 2024,2024新年活动,2024新年活動,2024 새해 이벤트,Event,Coming Soon,6.0.0,2024-12-31,https://images.unsplash.com/photo-1467810563316-b5476525c0f9?w=800,misaki|marie-rose|honoka|nyotengu,Ring in the New Year with all the Venus Islands girls! Coming soon with special celebrations.,ヴィーナスアイランドの全ての女の子と新年を迎えましょう！特別なお祝いがまもなく登場。,Event|New Year|Coming Soon,2024-03-15,System,published
14,fiona-character-ep1,Fiona Character Episode 1,フィオナ キャラクターエピソード1,菲奥娜 角色剧情1,菲奧娜 角色劇情1,피오나 캐릭터 에피소드 1,Character,Available,4.5.0,2021-08-20,https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=800,fiona,Discover Fiona's passion for surfing and ocean adventures in this refreshing episode.,この爽やかなエピソードでフィオナのサーフィンと海洋冒険への情熱を発見しましょう。,Character|Fiona,2024-01-15,System,published
15,luna-character-ep1,Luna Character Episode 1,ルナ キャラクターエピソード1,露娜 角色剧情1,露娜 角色劇情1,루나 캐릭터 에피소드 1,Character,Available,4.6.0,2021-09-15,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?w=800,luna,Explore Luna's fascination with the stars and celestial mysteries.,ルナの星や天体の神秘への魅力を探求しましょう。,Character|Luna,2024-01-15,System,published
16,sakura-character-ep1,Sakura Character Episode 1,さくら キャラクターエピソード1,樱花 角色剧情1,櫻花 角色劇情1,사쿠라 캐릭터 에피소드 1,Character,Available,4.7.0,2021-10-10,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=800,sakura,Experience Sakura's love for flowers and traditional Japanese culture.,さくらの花と日本の伝統文化への愛を体験しましょう。,Character|Sakura,2024-01-15,System,published
17,mei-character-ep1,Mei Character Episode 1,メイ キャラクターエピソード1,美 角色剧情1,美 角色劇情1,메이 캐릭터 에피소드 1,Character,Available,4.8.0,2021-11-05,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?w=800,mei,Learn about Mei's artistic talents and peaceful personality.,メイの芸術的な才能と穏やかな性格について学びましょう。,Character|Mei,2024-01-15,System,published
18,yuna-character-ep1,Yuna Character Episode 1,ユナ キャラクターエピソード1,尤娜 角色剧情1,尤娜 角色劇情1,유나 캐릭터 에피소드 1,Character,Available,4.9.0,2021-12-01,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,yuna,Discover Yuna's photography passion and adventurous spirit.,ユナの写真への情熱と冒険心を発見しましょう。,Character|Yuna,2024-01-15,System,published
19,rio-character-ep1,Rio Character Episode 1,リオ キャラクターエピソード1,里奥 角色剧情1,里奧 角色劇情1,리오 캐릭터 에피소드 1,Character,Available,5.0.0,2021-12-25,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?w=800,rio,Experience Rio's graceful dancing and vibrant personality.,リオの優雅なダンスと活発な性格を体験しましょう。,Character|Rio,2024-01-15,System,published
20,nana-character-ep1,Nana Character Episode 1,ナナ キャラクターエピソード1,娜娜 角色剧情1,娜娜 角色劇情1,나나 캐릭터 에피소드 1,Character,Available,5.1.0,2022-01-15,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=800,nana,Discover Nana's musical talents and sparkling personality.,ナナの音楽的な才能と輝くような性格を発見しましょう。,Character|Nana,2024-01-15,System,published
21,yume-character-ep1,Yume Character Episode 1,ユメ キャラクターエピソード1,梦 角色剧情1,夢 角色劇情1,유메 캐릭터 에피소드 1,Character,Available,5.2.0,2022-02-01,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?w=800,yume,Explore Yume's dream weaving abilities and gentle nature.,ユメの夢織りの能力と優しい性格を探求しましょう。,Character|Yume,2024-01-15,System,published
22,rena-character-ep1,Rena Character Episode 1,レナ キャラクターエピソード1,蕾娜 角色剧情1,蕾娜 角色劇情1,레나 캐릭터 에피소드 1,Character,Available,5.3.0,2022-02-15,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,rena,Learn about Rena's wolf taming skills and adventurous spirit.,レナの狼使いのスキルと冒険心について学びましょう。,Character|Rena,2024-01-15,System,published
23,hikari-character-ep1,Hikari Character Episode 1,ヒカリ キャラクターエピソード1,光 角色剧情1,光 角色劇情1,히카리 캐릭터 에피소드 1,Character,Available,5.4.0,2022-03-01,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=800,hikari,Discover Hikari's light magic and priestess duties.,ヒカリの光魔法と巫女の務めを発見しましょう。,Character|Hikari,2024-01-15,System,published
24,akira-character-ep1,Akira Character Episode 1,アキラ キャラクターエピソード1,晶 角色剧情1,晶 角色劇情1,아키라 캐릭터 에피소드 1,Character,Available,5.5.0,2022-03-15,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?w=800,akira,Uncover Akira's ninja stealth techniques and mysterious past.,アキラの忍者隠密術と謎めいた過去を明らかにしましょう。,Character|Akira,2024-01-15,System,published
25,sora-character-ep1,Sora Character Episode 1,ソラ キャラクターエピソード1,空 角色剧情1,空 角色劇情1,소라 캐릭터 에피소드 1,Character,Available,5.6.0,2022-04-01,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?w=800,sora,Experience Sora's aerial dance performances and sky-high dreams.,ソラの空中ダンスパフォーマンスと空高くの夢を体験しましょう。,Character|Sora,2024-01-15,System,published
26,maya-character-ep1,Maya Character Episode 1,マヤ キャラクターエピソード1,玛雅 角色剧情1,瑪雅 角色劇情1,마야 캐릭터 에피소드 1,Character,Available,5.7.0,2022-04-15,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=800,maya,Join Maya on jungle exploration adventures and survival challenges.,マヤと一緒にジャングル探検の冒険とサバイバルチャレンジに参加しましょう。,Character|Maya,2024-01-15,System,published
27,lily-character-ep1,Lily Character Episode 1,リリー キャラクターエピソード1,莉莉 角色剧情1,莉莉 角色劇情1,릴리 캐릭터 에피ソ드 1,Character,Available,5.8.0,2022-05-01,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?w=800,lily,Learn about Lily's gardening skills and flower arranging talents.,リリーの庭いじりと花いけの才能について学びましょう。,Character|Lily,2024-01-15,System,published
28,tsuki-character-ep1,Tsuki Character Episode 1,ツキ キャラクターエピソード1,月 角色剧情1,月 角色劇情1,츠키 캐릭터 에피소드 1,Character,Available,5.9.0,2022-05-15,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,tsuki,Discover Tsuki's lunar magic and guardian responsibilities.,ツキの月の魔法と守護者の責任を発見しましょう。,Character|Tsuki,2024-01-15,System,published
29,aria-character-ep1,Aria Character Episode 1,アリア キャラクターエピソード1,阿利亚 角色剧情1,阿利亞 角色劇情1,아리아 캐릭터 에피소드 1,Character,Available,6.0.0,2022-06-01,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?w=800,aria,Experience Aria's musical performances and wind symphony.,アリアの音楽パフォーマンスと風の交響曲を体験しましょう。,Character|Aria,2024-01-15,System,published
30,noa-character-ep1,Noa Character Episode 1,ノア キャラクターエピソード1,诺亚 角色剧情1,諾亞 角色劇情1,노아 캐릭터 에피소드 1,Character,Available,6.1.0,2022-07-01,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800,noa,Discover Noa's crystal magic and mystical abilities.,ノアの水晶魔法と神秘的な能力を発見しましょう。,Character|Noa,2024-01-15,System,published
