id,unique_key,type,event_status,start_date,end_date,image,updated_at,author,status,related_ids,gacha_ids,episode_ids,mission_ids,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp,rewards_en,rewards_jp,how_to_participate_en,how_to_participate_jp,tips_en,tips_jp
1,summer-splash-festival,Main,Active,2024-01-20T00:00:00Z,2024-02-05T14:00:00Z,https://images.unsplash.com/photo-1519046904884-53103b34b206?q=80&w=800&auto=format&fit=crop,2024-01-20,WikiTeam,published,tropical-paradise-marie|event-farming-optimization,summer-paradise-nostalgia,summer-festival-event,,Summer Splash Festival,サマースプラッシュフェスティバル,夏日水花节,夏日水花節,서머 스플래시 페스티벌,The biggest summer event of the year featuring exclusive swimsuits,限定水着が登場する今年最大の夏イベント,SSR Ticket x1|5000 V-Stones|Limited Title|Exclusive Decobromide,SSRチケット×1|5000 Vストーン|限定称号|限定デコブロマイド,Complete daily festival missions|Participate in special volleyball matches|Collect festival tokens|Exchange tokens for rewards,デイリーミッションをクリア|特別マッチに参加|トークンを集める|報酬と交換,Focus on bonus missions for 2x points|Use festival-boosted characters,ボーナスミッションで2倍ポイント|ブーストキャラを使用
2,starry-night-gacha,Event,Active,2024-01-15T00:00:00Z,2024-02-01T18:00:00Z,https://images.unsplash.com/photo-1514897575457-c4db467cf78e?q=80&w=800&auto=format&fit=crop,2024-01-18,WikiTeam,published,starry-night-honoka|v-stone-economy-guide,starry-night-premium,,,Starry Night Gacha,スターリーナイトガチャ,星夜扭蛋,星夜扭蛋,스타리 나이트 가챠,Limited-time gacha featuring starry night themed swimsuits,星空テーマの水着が登場する期間限定ガチャ,New SSR Suits|Limited Accessories|Rare Materials,新SSR水着|限定アクセサリー|レア素材,Use V-Stones or tickets to pull|10 pulls guarantee SR|Pity at 100 pulls,Vストーンでガチャ|10連でSR確定|100連で天井,Save for guaranteed SSR at 100 pulls|Check featured character first,100連の確定SSRのために貯める|ピックアップキャラを確認
3,beach-volleyball-tournament,Event,Active,2024-01-20T00:00:00Z,2024-02-08T06:00:00Z,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,2024-01-22,WikiTeam,published,team-building-fundamentals|advanced-match-techniques,,,daily-volleyball-match,Beach Volleyball Tournament,ビーチバレートーナメント,沙滩排球锦标赛,沙灘排球錦標賽,비치 발리볼 토너먼트,Compete against other players in the ultimate beach volleyball tournament,究極のビーチバレートーナメントで他プレイヤーと競う,Exclusive Decobromide|3000 V-Stones|Tournament Trophy|Ranking Rewards,限定デコブロマイド|3000 Vストーン|トロフィー|ランキング報酬,Enter tournament matches|Win to earn ranking points|Climb tiers|Finals in last 3 days,トーナメントマッチに参加|勝利でポイント獲得|ティアを上げる|最終3日で決勝,Build balanced team with high stats|Counter opponent composition,高ステータスのバランスチーム|相手構成に対抗
4,paradise-photo-contest,Daily,Upcoming,2024-02-10T00:00:00Z,2024-02-15T00:00:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-25,WikiTeam,published,,,misaki-gravure-ep1|marie-rose-gravure-ep1,daily-photo-session,Paradise Photo Contest,パラダイスフォトコンテスト,天堂摄影大赛,天堂攝影大賽,파라다이스 포토 콘테스트,Capture the most beautiful moments on Venus Island,ヴィーナス島で最も美しい瞬間を撮影,SR Ticket x2|Photo Frames|2000 V-Stones,SRチケット×2|フォトフレーム|2000 Vストーン,Take photos with in-game camera|Submit best shots|Vote on photos|Top voted win,カメラで撮影|ベストショットを提出|投票|最多投票が受賞,Try different angles and lighting|Use scenic locations,様々な角度と照明を試す|絶景スポットで撮影
5,tengu-festival,Main,Active,2024-01-25T00:00:00Z,2024-02-10T23:59:00Z,https://images.unsplash.com/photo-1509631179647-0177331693ae?q=80&w=800&auto=format&fit=crop,2024-01-26,WikiTeam,published,celestial-wings-nyotengu|nyotengu,celestial-wings-gacha,nyotengu-character-ep1,,Tengu Festival,天狗祭り,天狗祭,天狗祭,텐구 페스티벌,Mystical festival celebrating Nyotengu with exclusive rewards,女天狗を祝う神秘的なフェスティバル,Celestial Wings SSR|4000 V-Stones|Tengu Mask|Festival Badge,天翼SSR|4000 Vストーン|天狗面|フェスティバルバッジ,Complete challenges|Collect tengu feathers|Exchange in shop|Boss battles,チャレンジクリア|天狗の羽を集める|ショップで交換|ボス戦,Nyotengu gets 50% stat boost|Complete daily missions|Boss resets every 6h,女天狗50%アップ|デイリー全クリア|ボス6時間リセット
6,championship-gacha,Event,Active,2024-01-26T00:00:00Z,2024-02-12T17:00:00Z,https://images.unsplash.com/photo-1551847677-dc82d764e1eb?q=80&w=800&auto=format&fit=crop,2024-01-27,WikiTeam,published,beach-queen-misaki|gacha-pull-strategy,championship-premium,misaki-character-ep1,,Championship Gacha,チャンピオンシップガチャ,冠军扭蛋,冠軍扭蛋,챔피언십 가챠,Premium gacha featuring championship-themed SSR swimsuits,チャンピオンシップSSR水着が登場するプレミアムガチャ,Championship SSR Suits|Gold Accessories|Awakening Materials,チャンピオンシップSSR|ゴールドアクセ|覚醒素材,Pull with V-Stones or tickets|SSR every 50 pulls|Step-up rates|First pull 1500,Vストーンでガチャ|50連SSR確定|ステップアップ|初回1500,Use step-up system|First-time bonus materials|Championship suits have team buffs,ステップアップ活用|初回ボーナス素材|チームバフ付き
7,lunar-new-year-event,Main,Ended,2024-01-28T00:00:00Z,2024-02-14T23:59:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-28,WikiTeam,published,dragon-dance-leifang|leifang,dragon-spirit-gacha,,,Lunar New Year Celebration,旧正月セレブレーション,农历新年庆典,農曆新年慶典,설날 축제,Celebrate the Lunar New Year with special missions and rewards,特別ミッションと報酬で旧正月を祝う,Dragon Dance SR|3500 V-Stones|Red Envelope Accessories|Lucky Coins,龍舞SR|3500 Vストーン|紅包アクセ|ラッキーコイン,Complete missions|Collect red envelopes|Play themed matches|Exchange coins,ミッションクリア|紅包を集める|テーママッチ|コイン交換,Leifang gets bonus|Red envelopes in co-op|Save coins for limited items,レイファンボーナス|協力で紅包アップ|限定アイテム用に貯める
8,sweet-festival,Main,Upcoming,2024-02-15T00:00:00Z,2024-02-20T00:00:00Z,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?q=80&w=800&auto=format&fit=crop,2024-01-29,WikiTeam,published,sweet-dreams-tamaki|tamaki,sweet-dreams-festival,,,Sweet Festival,スイートフェスティバル,甜蜜节,甜蜜節,스위트 페스티벌,A delightful festival celebrating all things sweet with Tamaki,たまきと一緒に甘いものを祝う楽しいフェスティバル,Sweet Dreams SSR|4500 V-Stones|Candy Accessories|Sweet Badge,スイートドリームSSR|4500 Vストーン|キャンディアクセ|スイートバッジ,Baking mini-games|Sweet challenges|Collect candy tokens|Trade for rewards,お菓子作りミニゲーム|スイートチャレンジ|キャンディトークン|報酬交換,Tamaki gets 40% boost|Mini-games refresh 4h|Collect all candy types,たまき40%アップ|ミニゲーム4時間リフレッシュ|全キャンディ収集
9,opera-gacha,Event,Upcoming,2024-02-20T00:00:00Z,2024-02-25T18:00:00Z,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=800&auto=format&fit=crop,2024-01-30,WikiTeam,published,opera-elegance-helena|helena,,,,Opera Elegance Gacha,オペラエレガンスガチャ,歌剧优雅扭蛋,歌劇優雅扭蛋,오페라 엘레강스 가챠,Sophisticated gacha featuring Helena's opera-themed swimsuits,エレナのオペラテーマ水着が登場する洗練されたガチャ,Opera Elegance SSR|Elegant Accessories|3000 V-Stones,オペラエレガンスSSR|エレガントアクセ|3000 Vストーン,Standard gacha|Pity at 100|Rate-up for Helena|Bonus on multi-pulls,通常ガチャ|100連天井|エレナ確率アップ|10連ボーナス,Opera suits for balanced teams|Helena synergizes with support|Wait for anniversary if F2P,バランスチーム向け|サポートと相性良好|無課金は周年待ち
10,moonlight-gacha,Event,Upcoming,2024-02-25T00:00:00Z,2024-03-01T23:59:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-01-31,WikiTeam,published,moonlight-kasumi|kasumi,moonlight-serenade,,,Moonlight Gacha,ムーンライトガチャ,月光扭蛋,月光扭蛋,문라이트 가챠,Enchanting moonlight-themed gacha with Kasumi's new SSR,かすみの新SSRが登場する月光テーマガチャ,Moonlight Serenade SSR|Moon Accessories|5000 V-Stones Bonus,月光セレナーデSSR|ムーンアクセ|5000 Vストーンボーナス,Limited-time gacha|Night-time bonus rates|Featured SSR at 80 pulls|Daily free pull,期間限定|夜間ボーナス|80連ピックアップ確定|毎日無料,Night matches give bonus points|Moonlight suits have healing|Best value this month,夜マッチでボーナス|月光水着は回復持ち|今月最もお得
11,ocean-adventure-festival,Main,Active,2024-02-01T00:00:00Z,2024-02-15T14:00:00Z,https://images.unsplash.com/photo-1544005313-94ddf0286df2?q=80&w=800&auto=format&fit=crop,2024-02-01,WikiTeam,published,ocean-breeze-fiona|surfboard-decoration,ocean-breeze-gacha,fiona-character-ep1,ocean-adventure-event,Ocean Adventure Festival,オーシャンアドベンチャーフェスティバル,海洋冒险节,海洋冒險節,오션 어드벤처 페스티벌,Embark on exciting ocean adventures with surfing and diving challenges,サーフィンとダイビングのチャレンジでエキサイティングな海洋冒険に乗り出そう,SSR Ticket x1|3000 V-Stones|Surfboard Accessory|Ocean Badge,SSRチケット×1|3000 Vストーン|サーフボードアクセ|オーシャンバッジ,Complete ocean challenges|Surfing competitions|Diving missions|Collect wave tokens,海洋チャレンジクリア|サーフィン大会|ダイビングミッション|ウェーブトークン集め,Wave challenges give 2x points|Fiona gets 30% boost|Collect all ocean items,ウェーブチャレンジ2倍|フィオナ30%アップ|海洋アイテム全収集
12,stargazing-celebration,Main,Active,2024-02-10T00:00:00Z,2024-02-25T23:59:00Z,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?q=80&w=800&auto=format&fit=crop,2024-02-10,WikiTeam,published,lunar-eclipse-luna|telescope-accessory,lunar-eclipse-gacha,luna-character-ep1,stargazing-event,Stargazing Celebration,スタガジングセレブレーション,观星庆典,觀星慶典,스타게이징 셀레브레이션,Celebrate the night sky with astronomical events and telescope activities,天体イベントと望遠鏡アクティビティで夜空を祝おう,Lunar SSR|2500 V-Stones|Telescope Accessory|Star Badge,ルナSSR|2500 Vストーン|望遠鏡アクセ|スターバッジ,Observe constellations|Night photography|Stargazing missions|Collect star fragments,星座観測|夜間撮影|スタガジングミッション|スターフラグメント集め,Night events only|Luna gets 25% boost|Eclipse events give bonus rewards,夜間イベントのみ|ルナ25%アップ|日食イベントボーナス
13,sakura-blossom-festival,Main,Active,2024-03-01T00:00:00Z,2024-03-20T23:59:00Z,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,2024-03-01,WikiTeam,published,cherry-blossom-sakura|flower-arrangement-set,cherry-blossom-gacha,sakura-character-ep1,sakura-blossom-event,Sakura Blossom Festival,桜咲くフェスティバル,樱花盛开节,櫻花盛開節,사쿠라 블라썸 페스티벌,Celebrate spring with cherry blossom viewing and floral arrangements,桜鑑賞とフラワーアレンジメントで春を祝おう,Cherry SSR|3500 V-Stones|Flower Accessories|Blossom Badge,桜SSR|3500 Vストーン|フラワーアクセ|ブロッサムバッジ,View cherry blossoms|Flower arranging|Photography contest|Collect petals,桜鑑賞|フラワーアレンジ|写真コンテスト|花びら集め,Sakura gets 35% boost|Spring weather bonus|Limited flower items,さくら35%アップ|春の天候ボーナス|限定花アイテム
14,mystic-magic-tournament,Event,Active,2024-03-10T00:00:00Z,2024-03-25T06:00:00Z,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?q=80&w=800&auto=format&fit=crop,2024-03-10,WikiTeam,published,bamboo-grove-mei|mystic-kiko,mystic-kiko-gacha|bamboo-grove-gacha,mei-character-ep1,mystic-magic-event,Mystic Magic Tournament,ミスティックマジックトーナメント,神秘魔法锦标赛,神秘魔法錦標賽,미스틱 매직 토너먼트,Compete in magical volleyball tournaments with enchanted gameplay,魔法のようなバレーボールトーナメントで競い合おう,Magic SSR|4000 V-Stones|Magic Wand|Wizard Trophy,マジックSSR|4000 Vストーン|魔法の杖|ウィザードトロフィー,Enter magic matches|Cast spells|Enchant equipment|Win magical duels,マジックマッチ参加|呪文詠唱|装備エンチャント|魔法の決闘勝利,Magic users get 40% boost|Kiko synergizes with Mei|Spell combinations bonus,魔法使い40%アップ|キコとメイ相性|呪文コンボボーナス
15,photography-masterclass,Daily,Active,2024-03-20T00:00:00Z,2024-04-05T00:00:00Z,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=800&auto=format&fit=crop,2024-03-20,WikiTeam,published,tropical-storm-yuna|premium-camera-accessory,tropical-storm-gacha,yuna-character-ep1,,Photography Masterclass,フォトグラフィーマスタークラス,摄影大师班,攝影大師班,포토그래피 마스터클래스,Master the art of photography with professional tutorials and contests,プロフェッショナルなチュートリアルとコンテストで写真術をマスターしよう,Photo SSR|2000 V-Stones|Camera Accessories|Photography Award,フォトSSR|2000 Vストーン|カメラアクセ|フォトアワード,Take scenic photos|Learn techniques|Enter contests|Vote on submissions,風景写真撮影|テクニック習得|コンテスト参加|作品投票,Yuna gets 30% boost|Different locations bonus|Limited edition cameras,ユナ30%アップ|場所別ボーナス|限定カメラ
16,dancing-stars-gala,Main,Active,2024-04-01T00:00:00Z,2024-04-20T23:59:00Z,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?q=80&w=800&auto=format&fit=crop,2024-04-01,WikiTeam,published,river-dance-rio|sweet-dreams-tamaki,river-dance-gacha,rio-character-ep1,,Dancing Stars Gala,ダンシングスターズガラ,舞动星辰晚会,舞動星辰晚會,댄싱 스타즈 갈라,An elegant gala featuring dance performances and starlit celebrations,ダンスパフォーマンスと星空のセレブレーションをフィーチャーした優雅なガラ,Dance SR|4500 V-Stones|Dancing Shoes|Star Trophy,ダンスSR|4500 Vストーン|ダンシングシューズ|スタートロフィー,Perform dances|Star gazing|Gala missions|Collect star dust,ダンスパフォーマンス|星空観測|ガラミッション|スターダスト集め,Rio gets 45% boost|Tamaki support bonus|Dance combinations unlock,リオ45%アップ|たまきサポート|ダンスコンボ解除
17,musical-melodies-festival,Main,Active,2024-04-10T00:00:00Z,2024-04-30T23:59:00Z,https://images.unsplash.com/photo-1517841905240-472988babdf9?q=80&w=800&auto=format&fit=crop,2024-04-10,WikiTeam,published,diamond-star-nana|opera-elegance-helena,diamond-star-gacha,nana-character-ep1,,Musical Melodies Festival,ミュージカルメロディーズフェスティバル,音乐旋律节,音樂旋律節,뮤지컬 멜로디즈 페스티벌,Celebrate music and melodies with concerts and musical performances,コンサートとミュージカルパフォーマンスで音楽と旋律を祝おう,Music SSR|5000 V-Stones|Musical Notes|Melody Trophy,ミュージックSSR|5000 Vストーン|ミュージカルノート|メロディトロフィー,Attend concerts|Learn songs|Music challenges|Collect musical notes,コンサート参加|歌詞習得|ミュージックチャレンジ|ミュージカルノート集め,Nana gets 50% boost|Helena harmony bonus|Musical collaborations unlock,ナナ50%アップ|エレナハーモニー|ミュージカルコラボ解除
18,winter-wonderland-celebration,Main,Active,2024-05-01T00:00:00Z,2024-05-20T23:59:00Z,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?q=80&w=800&auto=format&fit=crop,2024-05-01,WikiTeam,published,christmas-event-2023|new-year-event-2024,winter-fantasy-gacha,christmas-event-2023|new-year-event-2024,expired-winter-event,Winter Wonderland Celebration,ウィンターワンダーランドセレブレーション,冬季仙境庆典,冬季仙境慶典,윈터 원더랜드 셀레브레이션,A magical winter celebration with snow activities and holiday cheer,雪アクティビティとホリデーチアで魔法のような冬のお祝い,Snow SSR|3800 V-Stones|Winter Accessories|Snowflake Badge,スノーSSR|3800 Vストーン|ウィンターアクセ|スノーフレークバッジ,Build snowmen|Ice skating|Winter missions|Collect snowflakes,雪だるま作り|アイススケート|ウィンターミッション|スノーフレーク集め,Winter weather bonus|Cold resistance items|Holiday decorations unlock,冬の天候ボーナス|寒さ耐性アイテム|ホリデーデコレーション解除
19,harvest-moon-gathering,Main,Active,2024-05-10T00:00:00Z,2024-05-30T23:59:00Z,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,2024-05-10,WikiTeam,published,lunar-new-year-event|moonlight-kasumi,harvest-moon-gacha,,,Harvest Moon Gathering,ハーベストムーンギャザリング,丰收月圆聚会,豐收月圓聚會,하베스트 문 개더링,Gather under the harvest moon for autumn celebrations and moon viewing,秋のお祝いと月見のために収穫の月のもとに集まろう,Moon SR|3200 V-Stones|Harvest Items|Moon Badge,ムーンSR|3200 Vストーン|ハーベストアイテム|ムーンバッジ,Moon viewing|Harvest festivals|Autumn missions|Collect moon petals,月見|収穫祭|秋ミッション|ムーンペタル集め,Kasumi gets 32% boost|Moon phase bonuses|Autumn decorations unlock,かすみ32%アップ|月相ボーナス|秋デコレーション解除
20,victory-parade-tournament,Event,Active,2024-05-20T00:00:00Z,2024-06-05T06:00:00Z,https://images.unsplash.com/photo-1551847677-dc82d764e1eb?q=80&w=800&auto=format&fit=crop,2024-05-20,WikiTeam,published,championship-gacha|beach-queen-misaki,victory-champion-gacha,,,Victory Parade Tournament,ビクトリーパレードトーナメント,胜利游行锦标赛,勝利遊行錦標賽,빅토리 퍼레이드 토너먼트,Celebrate victories with a grand tournament and championship parade,優勝パレードで勝利を祝う壮大なトーナメント,Victory SSR|6000 V-Stones|Championship Trophy|Victory Medal,ビクトリーSSR|6000 Vストーン|チャンピオンシップトロフィー|ビクトリーメダル,Win tournament matches|Parade celebrations|Trophy missions|Collect victory points,トーナメントマッチ勝利|パレードセレブレーション|トロフィーミッション|ビクトリーポイント集め,Misaki gets 60% boost|Victory streaks bonus|Championship rewards unlock,みさき60%アップ|勝利連勝ボーナス|チャンピオンシップ報酬解除
21,dream-weaver-festival,Main,Active,2024-06-01T00:00:00Z,2024-06-20T23:59:00Z,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=800&auto=format&fit=crop,2024-06-01,WikiTeam,published,dream-weaver-yume,dream-weaver-gacha,yume-character-ep1,dream-weaver-event,Summer Dream Festival,サマードリームフェスティバル,夏日梦境节,夏日夢境節,서머 드림 페스티벌,Enter Yume's dream world for magical summer celebrations,ユメの夢世界で魔法のような夏のお祝いを体験しよう,Dream SSR|4200 V-Stones|Dream Accessories|Dream Badge,ドリームSSR|4200 Vストーン|ドリームアクセ|ドリームバッジ,Dream challenges|Nightmare battles|Collect dream fragments|Dream crafting,ドリームチャレンジ|ナイトメアバトル|ドリームフラグメント集め|ドリームクラフト,Yume gets 45% boost|Dream state bonuses|Magical effects unlock,ユメ45%アップ|ドリームステートボーナス|魔法効果解除
22,arctic-wolf-challenge,Daily,Active,2024-06-10T00:00:00Z,2024-06-25T00:00:00Z,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=800&auto=format&fit=crop,2024-06-10,WikiTeam,published,arctic-wolf-rena,arctic-guardian-gacha,rena-character-ep1,,Wolf Spirit Contest,ウルフスピリットコンテスト,狼灵大赛,狼靈大賽,울프 스피릿 콘테스트,Test your skills in arctic wolf-themed survival challenges,北極狼をテーマにしたサバイバルチャレンジでスキルを試そう,Wolf SR|2800 V-Stones|Wolf Accessories|Spirit Medal,ウルフSR|2800 Vストーン|ウルフアクセ|スピリットメダル,Wolf training|Survival challenges|Pack hunting|Collect wolf spirits,ウルフトレーニング|サバイバルチャレンジ|パックハンティング|ウルフスピリット集め,Rena gets 38% boost|Cold weather immunity|Wolf pack synergy,レナ38%アップ|寒冷地耐性|ウルフパックシナジー
23,light-priestess-tournament,Event,Active,2024-06-20T00:00:00Z,2024-07-05T06:00:00Z,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,2024-06-20,WikiTeam,published,light-bringer-hikari,divine-light-gacha,hikari-character-ep1,sacred-light-event,Sacred Light Tournament,セイクリッドライトトーナメント,神圣光之锦标赛,神聖光之錦標賽,세이크리드 라이트 토너먼트,Battle with divine light in this sacred volleyball tournament,神聖な光で戦うこの聖なるバレーボールトーナメント,Light SSR|5500 V-Stones|Sacred Relic|Divine Trophy,ライトSSR|5500 Vストーン|セイクリッドレリック|ディバイントロフィー,Holy matches|Light challenges|Sacred rituals|Collect light orbs,ホリーマッチ|ライトチャレンジ|セイクリッドリチュアル|ライトオーブ集め,Hikari gets 55% boost|Light affinity bonus|Divine power unlock,ヒカリ55%アップ|光属性ボーナス|神聖力解除
24,shadow-ninja-gacha,Event,Active,2024-07-01T00:00:00Z,2024-07-15T23:59:00Z,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?q=80&w=800&auto=format&fit=crop,2024-07-01,WikiTeam,published,shadow-ninja-akira,shadow-assassin-gacha,akira-character-ep1,,Night Shadow Gacha,ナイトシャドウガチャ,夜影扭蛋,夜影扭蛋,나이트 섀도우 가챠,Mysterious shadow-themed gacha with ninja stealth mechanics,忍者の隠密メカニクスを備えた神秘的な影テーマガチャ,Shadow SSR|4800 V-Stones|Ninja Tools|Shadow Badge,シャドウSSR|4800 Vストーン|ニンジャツール|シャドウバッジ,Stealth pulls|Night missions|Shadow crafting|Collect dark energy,ステルスガチャ|ナイトミッション|シャドウクラフト|ダークエネルギー集め,Akira gets 42% boost|Night vision bonus|Evasion skills unlock,アキラ42%アップ|暗視ボーナス|回避スキル解除
25,sky-dancer-celebration,Main,Active,2024-07-10T00:00:00Z,2024-07-30T23:59:00Z,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?q=80&w=800&auto=format&fit=crop,2024-07-10,WikiTeam,published,sky-dancer-sora,cloud-dancer-gacha,sora-character-ep1,,Celestial Dance Festival,セレスチャルダンスフェスティバル,天舞节,天舞節,세레스티얼 댄스 페스티벌,Dance among the clouds in this aerial celebration,雲の中で踊るこの空中のお祝い,Aerial SR|3600 V-Stones|Dance Accessories|Sky Badge,エアリアルSR|3600 Vストーン|ダンスアクセ|スカイバッジ,Sky dancing|Aerial challenges|Cloud missions|Collect wind currents,スカイダンス|エアリアルチャレンジ|クラウドミッション|ウィンドカレント集め,Sora gets 40% boost|Height advantage bonus|Flight abilities unlock,ソラ40%アップ|高所アドバンテージ|飛行能力解除
26,jungle-survival-event,Main,Active,2024-08-01T00:00:00Z,2024-08-20T23:59:00Z,https://images.unsplash.com/photo-1517841905240-472988babdf9?q=80&w=800&auto=format&fit=crop,2024-08-01,WikiTeam,published,jungle-explorer-maya,wild-explorer-gacha,maya-character-ep1,,Jungle Adventure Festival,ジャングルアドベンチャーフェスティバル,丛林冒险节,叢林冒險節,정글 어드벤처 페스티벌,Survive and thrive in the dense jungle environment,密集したジャングル環境で生き残り繁栄しよう,Explorer SSR|3900 V-Stones|Jungle Gear|Survival Badge,エクスプローラーSSR|3900 Vストーン|ジャングルギア|サバイバルバッジ,Jungle trekking|Survival challenges|Animal encounters|Collect jungle herbs,ジャングルトレッキング|サバイバルチャレンジ|アニマルエンカウンター|ジャングルハーブ集め,Maya gets 37% boost|Jungle terrain bonus|Exploration skills unlock,マヤ37%アップ|ジャングル地形ボーナス|探索スキル解除
27,flower-garden-contest,Daily,Active,2024-08-10T00:00:00Z,2024-08-25T00:00:00Z,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?q=80&w=800&auto=format&fit=crop,2024-08-10,WikiTeam,published,flower-garden-lily,blooming-garden-gacha,lily-character-ep1,,Blooming Gardens Contest,ブルーミングガーデンズコンテスト,绽放花园大赛,綻放花園大賽,블루밍 가든즈 콘테스트,Showcase your gardening skills in this floral competition,この花の競技会でガーデニングスキルを披露しよう,Garden SR|2500 V-Stones|Flower Accessories|Bloom Medal,ガーデンSR|2500 Vストーン|フラワーアクセ|ブルームメダル,Flower arranging|Garden design|Bloom challenges|Collect flower petals,フラワーアレンジ|ガーデンデザイン|ブルームチャレンジ|フラワーペタル集め,Lily gets 33% boost|Growth acceleration|Floral synergy unlock,リリー33%アップ|成長加速|フローラルシナジー解除
28,moon-guardian-tournament,Event,Active,2024-08-20T00:00:00Z,2024-09-05T06:00:00Z,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=800&auto=format&fit=crop,2024-08-20,WikiTeam,published,moon-guardian-tsuki,lunar-protector-gacha,tsuki-character-ep1,,Lunar Guardian Championship,ルナガーディアン選手権,月之守护者锦标赛,月之守護者錦標賽,루나 가디언 챔피언십,Protect the moon in this mystical guardian tournament,この神秘的なガーディアントーナメントで月を守ろう,Lunar SSR|5200 V-Stones|Guardian Relics|Moon Trophy,ルナSSR|5200 Vストーン|ガーディアンリリック|ムーントロフィー,Moon defense|Lunar challenges|Guardian rituals|Collect moon essence,ムーンディフェンス|ルナチャレンジ|ガーディアンリチュアル|ムーンエッセンス集め,Tsuki gets 52% boost|Lunar phase bonus|Guardian powers unlock,ツキ52%アップ|月相ボーナス|ガーディアンパワー解除
29,wind-symphony-festival,Main,Active,2024-09-01T00:00:00Z,2024-09-20T23:59:00Z,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?q=80&w=800&auto=format&fit=crop,2024-09-01,WikiTeam,published,wind-symphony-aria,wind-maestro-gacha,aria-character-ep1,,Wind Symphony Celebration,ウィンドシンフォニーセレブレーション,风之交响庆典,風之交響慶典,윈드 심포니 셀레브레이션,Celebrate the power of wind with musical performances,風の力と音楽パフォーマンスでお祝いをしよう,Symphony SR|4100 V-Stones|Wind Instruments|Harmony Badge,シンフォニーSR|4100 Vストーン|ウィンドインストゥルメント|ハーモニーバッジ,Wind conducting|Musical challenges|Symphony performances|Collect wind notes,ウィンドコンダクティング|ミュージックチャレンジ|シンフォニーパフォーマンス|ウィンドノート集め,Aria gets 41% boost|Wind affinity bonus|Musical harmony unlock,アリア41%アップ|風属性ボーナス|ミュージカルハーモニー解除
